nItens,nKnapsacks,ExactTime,ExactResult
2,1,0.000285844,2537
4,2,0.00297991,2377
6,3,0.0307576,2825
8,4,0.299833,1895
10,5,1.8184,1887
12,6,9.0451,2462
14,7,32.8973,2499
16,8,105.849,2170
18,9,300.601,1497
